question,variant,virtual_time,resolved_fraction,mean_unresolved_coverage_est
q4,a4_nearest_cert,4889.092,0.0000,0.0000
q4,a4_nearest_cert,4976.020,0.0000,0.0000
q4,a4_nearest_cert,5062.949,0.0000,0.0000
q4,a4_nearest_cert,5149.877,0.0000,0.0000
q4,a4_nearest_cert,5236.805,0.0000,0.0000
q4,a4_nearest_cert,5323.733,0.0000,0.0000
q4,a4_nearest_cert,5410.661,0.0000,0.0000
q4,a4_nearest_cert,5497.590,0.0000,0.0000
q4,a4_nearest_cert,5584.518,0.0000,0.0000
q4,a4_nearest_cert,5671.446,0.0000,0.0000
q4,a4_nearest_cert,5758.374,0.0000,0.0000
q4,a4_nearest_cert,5847.302,0.0500,0.0000
q4,a4_nearest_cert,5853.302,0.0500,0.0000
q4,a4_nearest_cert,5859.302,0.0500,0.0000
q4,a4_nearest_cert,5865.302,0.0500,0.0000
q4,a4_nearest_cert,6125.780,0.0500,0.0000
q4,a4_nearest_cert,6131.780,0.0500,0.0000
q4,a4_nearest_cert,6304.018,0.0500,0.0000
q4,a4_nearest_cert,6458.360,0.0500,0.0000
q4,a4_nearest_cert,6539.288,0.0500,0.0000
q4,a4_nearest_cert,6620.217,0.0500,0.0000
q4,a4_nearest_cert,6701.145,0.0500,0.0000
q4,a4_nearest_cert,6782.073,0.0500,0.0000
q4,a4_nearest_cert,6863.001,0.0500,0.0000
q4,a4_nearest_cert,6943.929,0.0500,0.0000
q4,a4_nearest_cert,7024.858,0.0500,0.0000
q4,a4_nearest_cert,7105.786,0.0500,0.0000
q4,a4_nearest_cert,7186.714,0.0500,0.0000
q4,a4_nearest_cert,7267.642,0.0500,0.0000
q4,a4_nearest_cert,7348.570,0.0500,0.0000
q4,a4_nearest_cert,7429.499,0.0500,0.0000
q4,a4_nearest_cert,7510.427,0.0500,0.0000
q4,a4_nearest_cert,7591.355,0.0500,0.0000
q4,a4_nearest_cert,7672.283,0.0500,0.0000
q4,a4_nearest_cert,7753.212,0.0500,0.0000
q4,a4_nearest_cert,7834.140,0.0500,0.0000
q4,a4_nearest_cert,7915.068,0.0500,0.0000
q4,a4_nearest_cert,7995.996,0.0500,0.0000
q4,a4_nearest_cert,8076.924,0.0500,0.0000
q4,a4_nearest_cert,8157.853,0.0500,0.0000
q4,a4_nearest_cert,8238.781,0.0500,0.0000
q4,a4_nearest_cert,8319.709,0.0500,0.0000
q4,a4_nearest_cert,8400.637,0.0500,0.0000
q4,a4_nearest_cert,8481.565,0.0500,0.0000
q4,a4_nearest_cert,8562.494,0.0500,0.0000
q4,a4_nearest_cert,8643.422,0.0500,0.0000
q4,a4_nearest_cert,8724.350,0.0500,0.0000
q4,a4_nearest_cert,8805.278,0.0500,0.0000
q4,a4_nearest_cert,8886.206,0.0500,0.0000
q4,a4_nearest_cert,8967.135,0.0500,0.0000
q4,a4_nearest_cert,9048.063,0.0500,0.0000
q4,a4_nearest_cert,9128.991,0.0500,0.0000
q4,a4_nearest_cert,9209.919,0.0500,0.0000
q4,a4_nearest_cert,9290.847,0.0500,0.0000
q4,a4_nearest_cert,9371.776,0.0500,0.0000
q4,a4_nearest_cert,9452.704,0.0500,0.0000
q4,a4_nearest_cert,9565.364,0.1000,0.0000
q4,a4_nearest_cert,9571.364,0.1000,0.0000
q4,a4_nearest_cert,9799.188,0.1000,0.0000
q4,a4_nearest_cert,9880.116,0.1000,0.0000
q4,a4_nearest_cert,9961.045,0.1000,0.0000
q4,a4_nearest_cert,10041.973,0.1000,0.0000
q4,a4_nearest_cert,10122.901,0.1000,0.0000
q4,a4_nearest_cert,10203.829,0.1000,0.0000
q4,a4_nearest_cert,10284.757,0.1000,0.0000
q4,a4_nearest_cert,10365.686,0.1000,0.0000
q4,a4_nearest_cert,10440.614,0.1000,0.0000
q4,a4_nearest_cert,10515.542,0.1000,0.0000
q4,a4_nearest_cert,10590.470,0.1000,0.0000
q4,a4_nearest_cert,10665.398,0.1000,0.0000
q4,a4_nearest_cert,10754.183,0.1000,0.0000
q4,a4_nearest_cert,10829.111,0.1000,0.0000
q4,a4_nearest_cert,10904.039,0.1000,0.0000
q4,a4_nearest_cert,10978.968,0.1000,0.0000
q4,a4_nearest_cert,11053.896,0.1000,0.0000
q4,a4_nearest_cert,11128.824,0.1000,0.0000
q4,a4_nearest_cert,11203.752,0.1000,0.0000
q4,a4_nearest_cert,11278.680,0.1000,0.0000
q4,a4_nearest_cert,11353.609,0.1000,0.0000
